phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,P_IFM,P_bomb,eta,N,nsamples
2.019923021,1.151076439,0.664100552,3.886301165,0.071187447,0.269750033,0.734324618,1.58638784,4.143297191,0.004155,0.626305,0.006590426,20,200000
0.574672282,5.143805529,3.987791598,3.39290964,1.782372343,3.150915753,5.232301278,3.973441242,5.457618924,0.004725,0.66131,0.007094222,20,200000
4.278305502,5.801262304,2.25477679,5.091235946,2.678149439,2.934791102,3.691926484,6.116803733,5.418604,0.00583,0.669375,0.008634415,20,200000
2.041197882,6.239682083,1.145992347,4.325148217,1.213612957,1.54416484,1.406653818,6.235735636,1.323038816,0.00673,0.668975,0.009959968,20,200000
5.728723943,0.725747118,1.564449654,2.860435619,2.179092991,3.614035139,5.329890551,5.721297878,5.512809699,0.0031,0.668355,0.00461684,20,200000
2.4275748578724325,2.717811043518423,4.832338007914167,2.838012581525576,2.9024769723956365,3.60454201767986,4.407604083657603,5.335809570756533,1.3106622643286268,0.006815,0.631895,0.010669944106088835,20,200000
1.0886812834445536,2.309064457711393,5.84575672486193,0.7892389583813726,4.529447619663653,2.467920064321861,3.516105724672422,3.916536331336136,4.1298638372362975,0.00457,0.64912,0.006991081399440102,20,200000
2.459057515873547,2.87834279122108,0.1534595883666036,3.4421364464356903,0.261089977723069,1.0262648460258725,5.424074050782967,3.8915569743381093,4.109935817062074,0.004885,0.65882,0.0073601976781853375,20,200000
1.7920537962768024,5.704501826714003,3.66626358015787,3.013465458110363,2.5672687753251773,5.0410869152971065,5.487086638660417,2.4694104523503597,0.10314349620947724,0.00312,0.650745,0.0047716271707462544,20,200000
0.3100283928086021,5.603307637347489,2.931622169256113,2.270816391255814,3.234522754618387,2.6063474920594056,3.9159986275815966,0.5380996539456,0.006739425392486761,0.00475,0.65795,0.007167647502640711,20,200000
0.45933516945726854,6.034152753468571,6.233311206234565,1.2320855945435873,5.382936881596403,0.8609692977529786,3.56980127366303,6.0002681598919345,5.174665217685775,0.00266,0.650125,0.004074848533590692,20,200000
4.509488078948079,5.783017739788331,2.833788973969243,3.83763834288047,0.5448195573418899,0.3411516374881364,3.7220563498870574,1.4802554429551045,1.7909553948199306,0.00523,0.64076,0.00809610055883218,20,200000
0.2289105165525058,2.189032072890046,1.8683682334960234,3.9044088739026868,0.16724303078291672,3.0443320714667346,5.902397644476599,0.26927817812017485,5.587009237597453,0.002935,0.672675,0.0043442222584035165,20,200000
0.6816598431294874,2.6393691187103583,2.561860760170524,2.5018401257990863,2.6498215648375614,6.151641668853927,3.2561603981412723,0.5277583820036178,5.302731627969347,0.00659,0.65183,0.010008808966920812,20,200000
