phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,P_IFM,P_bomb,eta,N,nsamples
4.189306446,0.025684314,2.685221133,3.223653911,3.484540835,1.665059802,3.34710373,2.140786199,5.537444308,5.898561115,0.282554168,0.001665,0.623775,0.002662126,20,200000
3.084802076,6.170130688,1.021498715,0.438607965,0.729553721,3.085373919,1.230890442,5.067727108,3.866853804,3.128158412,0.172944303,0.01307,0.621985,0.020580895,20,200000
3.129635185,1.289500593,3.489162399,5.290935898,5.381325564,3.361645712,4.467648311,0.701715062,1.118467113,0.463241295,4.071388266,0.00094,0.615285,0.001525417,20,200000
1.810754212,5.735133636,2.70255784,5.262478017,1.006260568,3.774406169,3.423421473,5.426741091,1.986824109,6.084586525,5.584353572,0.00231,0.64014,0.003595611,20,200000
5.459162858,3.852256989,0.400385081,2.375069819,5.167818361,1.978673602,1.758336144,2.251062465,0.768889003,0.520805439,1.502769737,0.00094,0.62022,0.001513298,20,200000
3.131745203,1.610418807,6.212109673,5.760330362,4.022045393,0.257473847,5.509411506,5.964502786,2.602635096,0.923448625,3.625909882,0.003105,0.622205,0.004965537,20,200000
2.826906023,6.021221445,3.202485146,5.195116004,5.048253164,2.81472216,2.332242967,3.996088467,1.127575972,0.518900431,0.423110425,0.001245,0.63258,0.001964265,20,200000
0.048761948,1.968434105,0.498445666,4.348771763,0.510911032,4.550343764,2.449923911,2.996548216,1.583089486,2.775110487,4.776509852,0.001535,0.61988,0.002470169,20,200000
5.865852821,1.712299711,1.173204591,4.597988689,1.874451081,5.563742817,0.959882988,1.60840896,5.313961713,4.353498494,1.400962144,0.000725,0.62199,0.001164257,20,200000
0.217042415,4.73093253,1.215260856,3.266961248,4.262810062,5.324049211,2.413029307,4.651553312,2.909946883,0.953847126,0.510428967,0.002575,0.630395,0.004068123,20,200000
0.99836451,4.392443887,4.214806743,1.051626283,1.468421286,2.435023158,2.368984999,3.597132564,3.088856895,4.284088207,4.673138009,0.00252,0.62548,0.004012739,20,200000
4.384709049,0.004177807,5.173012347,3.092193358,0.382066034,2.677207556,4.116545251,1.206664503,3.049482818,5.540307482,2.87643824,0.00403,0.62664,0.00639003,20,200000
2.81530579,4.104167722,1.407961933,2.347634177,2.307319341,1.026493669,3.273121189,1.346033642,3.642053342,1.481487975,1.647257872,0.00223,0.632735,0.003512005,20,200000
1.666662952,0.781032596,2.271045261,6.11545308,4.870088438,4.151961779,1.257046101,4.334851282,3.555119578,0.006856982,1.069699698,0.001895,0.620975,0.003042368,20,200000
